"id","personagem","diálogo"
318,"LEIA","Espero que saiba o que está fazendo."
342,"LEIA","Deixe ir."
344,"LEIA","Solte, por favor."
346,"LEIA","Capitão, ser segurado por você não é o bastante para me excitar."
389,"LEIA","Você poderia, por favor, parar de me chamar assim?"
391,"LEIA","Ah, às vezes você dificulta tanto."
393,"LEIA","Ocasionalmente talvez... quando você não está agindo como um canalha."
395,"LEIA","Pare com isso."
397,"LEIA","Pare com isso! Minhas mãos estão sujas."
399,"LEIA","Com medo?"
401,"LEIA","Não estou tremendo."
403,"LEIA","Acontece que gosto de homens legais."
405,"LEIA","Não, você não está. Você está..."
449,"LEIA","Há algo lá fora."
451,"LEIA","Lá fora, na caverna."
454,"LEIA","Você está louco?!"
456,"LEIA","Então eu vou com você."
458,"LEIA","Esse chão com certeza parece estranho. Não parece nada de pedra."
460,"LEIA","Não sei. Estou com um mau pressentimento sobre isso."
464,"LEIA","Mynocks?"
469,"LEIA","O Império ainda está lá fora. Eu não acho que seja sensato..."
471,"LEIA","Eu não sou um comitê!"
472,"LEIA","Você não pode saltar para a velocidade da luz neste campo de asteróides..."
477,"LEIA","A caverna está desmoronando."
479,"LEIA","O quê?"
505,"LEIA","Sem velocidade da luz?"
510,"LEIA","Você vai atacá-los?!"
512,"LEIA","Cala a boca!"
546,"LEIA","O que você tem em mente para o seu próximo movimento?"
548,"LEIA","Com o resto do lixo. E depois?"
550,"LEIA","Não. Onde estamos?"
552,"LEIA","Sistema Anoat. Não há muito lá."
554,"LEIA","Sistema Lando?"
556,"LEIA","Obrigado."
558,"LEIA","Uma colônia de mineração?"
560,"LEIA","Você pode confiar nele?"
563,"LEIA","Você tem seus momentos. Não muitos, mas você os tem."
579,"LEIA","Achei que você conhecesse essa pessoa."
584,"LEIA","Quem está preocupado?"
586,"LEIA","Eu não gosto disso."
594,"LEIA","Sim... muito simpática."
600,"LEIA","Leia."
650,"LEIA","Quanto mais cedo melhor. Algo está errado aqui. Ninguém viu ou sabe nada sobre Threepio. Ele se foi há muito tempo para se perder."
652,"LEIA","Não confio em Lando."
654,"LEIA","E então você se foi, não é?"
655,"LEIA","O que aconteceu?"
657,"LEIA","Ah, que bagunça. Chewie, você acha que pode consertá-lo?"
659,"LEIA","Não, obrigado."
661,"LEIA","Na verdade não."
663,"LEIA","Obrigado."
669,"LEIA","Então você faz parte da guilda de mineração?"
693,"LEIA","Por que eles estão fazendo isso?"
695,"LEIA","Lando."
700,"LEIA","E o Han?"
702,"LEIA","Vader quer todos nós mortos."
706,"LEIA","E nós somos a isca."
711,"LEIA","Você certamente tem jeito com as pessoas."
727,"LEIA","Eu te amo!"
737,"LEIA","Luke! Luke, não -- é uma armadilha! É uma armadilha!"
740,"LEIA","O que você pensa que está fazendo?"
743,"LEIA","Você acha que depois do que fez com Han vamos confiar em você?"
746,"LEIA","Ah, então entendemos, não é, Chewie? Ele não teve escolha."
748,"LEIA","Não precisamos da sua ajuda."
750,"LEIA","O quê?"
753,"LEIA","Chewie."
791,"LEIA","Luke... Temos que voltar."
793,"LEIA","Eu sei onde Luke está."
795,"LEIA","Chewie, apenas faça."
800,"LEIA","É Luke. Chewie, desacelere. Desacelere e vamos passar por baixo dele. Lando, abra a escotilha superior."
801,"LEIA","Ok. Calma, Chewie."
802,"LEIA","Lando?"
806,"LEIA","Já volto."
807,"LEIA","Destruidor Estelar."
809,"LEIA","Se seu pessoal consertou o hiperdrive."
810,"LEIA","Todas as coordenadas estão definidas. É agora ou nunca."
